Fecha,Fecha de Compra,Descripción,Importe
10 Dec 2025,10 Dec 2025,GOOGLE*YT PRIMETIME GOO  G.CO HELPPAY#,93.24
10 Dec 2025,11 Dec 2025,PAYPAL *DISNEY PLUS     8889057888,256.19
10 Dec 2025,11 Dec 2025,PAYPAL *INSTACART       8882467822,2024.85
08 Dec 2025,08 Dec 2025,PAYPAL *MICROSOFT       4029357733,449.00
08 Dec 2025,09 Dec 2025,PAYPAL *SPLICE          4029357733,187.09
07 Dec 2025,07 Dec 2025,UBER,167.71
06 Dec 2025,06 Dec 2025,BT*DD *DOORDASH CHIPOTL SAN FRANCISCO,457.40
06 Dec 2025,06 Dec 2025,CLAUDE.AI SUBSCRIPTION  SAN FRANCISCO,1867.70
06 Dec 2025,06 Dec 2025,CLAUDE.AI SUBSCRIPTION  SAN FRANCISCO,1867.70
06 Dec 2025,09 Dec 2025,PAYPAL *APPLE.COM/BILL  8002752273,592.40
06 Dec 2025,06 Dec 2025,REDEFINED-A-CAPPELLA    MADISON,309.10
05 Dec 2025,06 Dec 2025,AMAZON MKTPL*BI3IN48R1  AMZN.COM/BILL,1369.00
05 Dec 2025,05 Dec 2025,BILT RENT               NEW YORK,32747.91
05 Dec 2025,06 Dec 2025,PAYPAL *INSTACART       8882467822,2676.60
05 Dec 2025,05 Dec 2025,UBER,100.85
04 Dec 2025,04 Dec 2025,650 INDUSTRIES (EXPO)   PALO ALTO,355.71
04 Dec 2025,04 Dec 2025,BT*DD *DOORDASH CHICK-F SAN FRANCISCO,495.38
04 Dec 2025,04 Dec 2025,BT*DD *DOORDASH CVS     SAN FRANCISCO,981.19
04 Dec 2025,05 Dec 2025,PAUL'S NEIGHBORHOOD BAR 877-8144102,373.54
04 Dec 2025,05 Dec 2025,THE ORPHEUM THEATER-MAD MADISON,216.84
04 Dec 2025,05 Dec 2025,THE ORPHEUM THEATER-MAD MADISON,253.82
04 Dec 2025,05 Dec 2025,TST* FREEHOUSE PUB 0015 MIDDLETON,131.05
04 Dec 2025,05 Dec 2025,TST* FREEHOUSE PUB 0015 MIDDLETON,374.43
04 Dec 2025,05 Dec 2025,TST* STATE STREET BRATS MADISON,300.84
04 Dec 2025,05 Dec 2025,UNITED AIRLINES         HOUSTON,3444.75
04 Dec 2025,05 Dec 2025,UNITED AIRLINES         HOUSTON,12683.80
03 Dec 2025,04 Dec 2025,AMAZON MKTPL*BI4ZM8X42  AMZN.COM/BILL,368.32
03 Dec 2025,04 Dec 2025,PAYPAL *HBOMAX HELP.HBO 8559426669,365.76
03 Dec 2025,03 Dec 2025,SQSP* WORKSP#212209914  NEW YORK,157.56
03 Dec 2025,03 Dec 2025,TST* THE KOLLEGE KLUB - MADISON,389.03
03 Dec 2025,03 Dec 2025,TST* WHISKEY JACKS SALO MADISON,198.92
02 Dec 2025,03 Dec 2025,RILEYS WINES OF THE WOR MADISON,316.90
02 Dec 2025,03 Dec 2025,TST* STATE STREET BRATS MADISON,137.50
02 Dec 2025,03 Dec 2025,TST* STATE STREET BRATS MADISON,137.50
02 Dec 2025,03 Dec 2025,TST* STATE STREET BRATS MADISON,320.66
02 Dec 2025,03 Dec 2025,TST* THE DOUBLE U 00181 MADISON,141.26
30 Nov 2025,30 Nov 2025,ANTHROPIC               SAN FRANCISCO,376.03
30 Nov 2025,30 Nov 2025,GOOGLE*YOUTUBE TV GOOGL  G.CO HELPPAY#,1646.09
30 Nov 2025,01 Dec 2025,LINELEAP                BELLEVILLE,610.86
30 Nov 2025,30 Nov 2025,OPENAI *CHATGPT SUBSCR  SAN FRANCISCO,376.03
30 Nov 2025,01 Dec 2025,PAYPAL *NETFLIX.COM     8667160414,356.86
29 Nov 2025,30 Nov 2025,GOOGLE *YOUTUBE VIDEOS  G.CO/HELPPAY#,75.02
28 Nov 2025,29 Nov 2025,CTLP*CANTEEN VENDING S  CHARLOTTE,34.78
28 Nov 2025,29 Nov 2025,CTLP*CANTEEN VENDING S  CHARLOTTE,34.78
28 Nov 2025,29 Nov 2025,CTLP*CANTEEN VENDING S  CHARLOTTE,34.78
27 Nov 2025,27 Nov 2025,MOONFLASH LIMITED       LONDON,1521.12
27 Nov 2025,27 Nov 2025,SUPABASE                SINGAPORE,648.30
26 Nov 2025,27 Nov 2025,AMAZON MKTPL*B234H9HK0  AMZN.COM/BILL,721.06
26 Nov 2025,26 Nov 2025,AMAZON PRIME*025QF7YF3  AMZN.COM/BILL,282.58
26 Nov 2025,26 Nov 2025,BT*DD *DOORDASH CHIPOTL SAN FRANCISCO,467.34
26 Nov 2025,27 Nov 2025,PAYPAL *APPLE.COM/BILL  8002752273,218.49
25 Nov 2025,25 Nov 2025,DD *DOORDASHDASHPASS    SAN FRANCISCO,189.09
25 Nov 2025,26 Nov 2025,PAYPAL *INSTACART       8882467822,5391.19
24 Nov 2025,24 Nov 2025,UBER,334.57
23 Nov 2025,24 Nov 2025,PAYPAL *SPOTIFY*P3CB055 2033189708,120.05
22 Nov 2025,23 Nov 2025,PAYPAL *SPLICE          4029357733,400.62
20 Nov 2025,21 Nov 2025,PAYPAL *AMC THEATRE     8884404262,1280.33
20 Nov 2025,20 Nov 2025,UBER,432.62
19 Nov 2025,19 Nov 2025,GOOGLE *GOOGLE ONE      G.CO/HELPPAY#,2354.33
19 Nov 2025,20 Nov 2025,"PARADIES-MADTOWN, LLC   ATLANTA",207.38
18 Nov 2025,19 Nov 2025,ZAZA SNACKS LLC         MADISON,55.19
17 Nov 2025,19 Nov 2025,AMAZON MKTPL*B021X30G1  AMZN.COM/BILL,577.16
17 Nov 2025,17 Nov 2025,BT*DD *DOORDASH SHAKESH SAN FRANCISCO,470.53
17 Nov 2025,17 Nov 2025,DELTA AIR LINES,8175.27
16 Nov 2025,16 Nov 2025,BT*DD *DOORDASH WINGSTO SAN FRANCISCO,345.73
16 Nov 2025,16 Nov 2025,TST* WHISKEY JACKS SALO MADISON,682.25
16 Nov 2025,16 Nov 2025,TST* WHISKEY JACKS SALO MADISON,776.74
15 Nov 2025,16 Nov 2025,TST* STATE STREET BRATS MADISON,619.77
14 Nov 2025,14 Nov 2025,UBER,159.60
13 Nov 2025,15 Nov 2025,SOTTO NIGHT CLUB        MADISON,98.05
13 Nov 2025,15 Nov 2025,SOTTO NIGHT CLUB        MADISON,319.76
12 Nov 2025,12 Nov 2025,BT*DD *DOORDASH ALABRAS SAN FRANCISCO,570.11
12 Nov 2025,13 Nov 2025,PAYPAL *INSTACART       8882467822,2798.16
10 Nov 2025,11 Nov 2025,PAYPAL *DISNEY PLUS     8889057888,258.77
09 Nov 2025,10 Nov 2025,DOMINO'S 2097 000002097 MADISON,444.40
09 Nov 2025,11 Nov 2025,PAYPAL *APPLE.COM/BILL  8002752273,378.34
08 Nov 2025,08 Nov 2025,BT*DD *DOORDASH FIVEGUY SAN FRANCISCO,379.99
08 Nov 2025,08 Nov 2025,GOOGLE *YOUTUBE VIDEOS  G.CO/HELPPAY#,75.81
08 Nov 2025,09 Nov 2025,PAYPAL *SPLICE          4029357733,189.81
08 Nov 2025,09 Nov 2025,TST* THE DOUBLE U 00181 MADISON,167.77
08 Nov 2025,09 Nov 2025,TST* THE DOUBLE U 00181 MADISON,185.81
08 Nov 2025,09 Nov 2025,TST* THE DOUBLE U 00181 MADISON,393.66
08 Nov 2025,09 Nov 2025,TST* THE DOUBLE U 00181 MADISON,594.68
08 Nov 2025,09 Nov 2025,TST* THE DOUBLE U 00181 MADISON,1871.83
07 Nov 2025,08 Nov 2025,PAYPAL *MICROSOFT       4029357733,449.00
07 Nov 2025,09 Nov 2025,TCP*UWMADISONHSG        MADISON,226277.02
06 Nov 2025,07 Nov 2025,CHIPOTLE MEX GR ONLINE  NEWPORT BEACH,314.81
06 Nov 2025,06 Nov 2025,CLAUDE.AI SUBSCRIPTION  SAN FRANCISCO,3825.22
06 Nov 2025,07 Nov 2025,TARGET        034058 09 MADISON,1030.32
04 Nov 2025,04 Nov 2025,650 INDUSTRIES (EXPO)   PALO ALTO,363.19
03 Nov 2025,03 Nov 2025,LYFT   *RIDE MON 5PM    SAN FRANCISCO,148.44
03 Nov 2025,04 Nov 2025,PAYPAL *HBOMAX HELP.HBO 8559426669,340.16
03 Nov 2025,03 Nov 2025,SQSP* DOMAIN#207825415  NEW YORK,417.61
03 Nov 2025,03 Nov 2025,SQSP* WORKSP#207829831  NEW YORK,159.45
01 Nov 2025,02 Nov 2025,DOUBLE TAP MADISON DOUB MADISON,643.93
01 Nov 2025,01 Nov 2025,JIMMY JOHNS 9063 9063   MADISON,185.01
01 Nov 2025,02 Nov 2025,LINELEAP                BELLEVILLE,1049.07
01 Nov 2025,01 Nov 2025,TST* THE DOUBLE U 00181 MADISON,531.97
31 Oct 2025,31 Oct 2025,IC* INSTACART           SAN FRANCISCO,408.18
31 Oct 2025,31 Oct 2025,TST* THE DOUBLE U 00181 MADISON,217.23
31 Oct 2025,31 Oct 2025,TST* THE DOUBLE U 00181 MADISON,496.52
31 Oct 2025,01 Nov 2025,TST* THE KOLLEGE KLUB - MADISON,151.63
30 Oct 2025,30 Oct 2025,BT*DD *DOORDASH PANERAB SAN FRANCISCO,328.41
30 Oct 2025,30 Oct 2025,IC* INSTACART           SAN FRANCISCO,3488.23
30 Oct 2025,31 Oct 2025,PAYPAL *NETFLIX.COM     8667160414,361.34
30 Oct 2025,31 Oct 2025,TST* THE DOUBLE U 00181 MADISON,189.05
30 Oct 2025,31 Oct 2025,TST* THE DOUBLE U 00181 MADISON,521.27
29 Oct 2025,29 Oct 2025,Canteen                 Madison,861.65
29 Oct 2025,30 Oct 2025,GOOGLE*YOUTUBE TV GOOGL  G.CO HELPPAY#,1655.06
29 Oct 2025,29 Oct 2025,TST* WHISKEY JACKS SALO MADISON,132.94
29 Oct 2025,29 Oct 2025,TST* WHISKEY JACKS SALO MADISON,266.08
27 Oct 2025,27 Oct 2025,BT*DD *DOORDASH SUSHIEX SAN FRANCISCO,496.88
27 Oct 2025,28 Oct 2025,CHIPOTLE MEX GR ONLINE  NEWPORT BEACH,310.86
27 Oct 2025,28 Oct 2025,ZAZA SNACKS LLC         MADISON,90.59
26 Oct 2025,26 Oct 2025,APPLE.COM/US            CUPERTINO,102.95
26 Oct 2025,26 Oct 2025,APPLE.COM/US            CUPERTINO,1870.25
26 Oct 2025,26 Oct 2025,QDOBA 2033              MADISON,332.29
25 Oct 2025,25 Oct 2025,BT*DD *DOORDASH LOSGEME SAN FRANCISCO,293.57
23 Oct 2025,23 Oct 2025,MOBBIN.COM              SINGAPORE,851.89
23 Oct 2025,24 Oct 2025,PAYPAL *SPOTIFY*P3BBE17 2033189708,119.45
23 Oct 2025,24 Oct 2025,STOP N SHOP             MADISON,231.98
23 Oct 2025,24 Oct 2025,TST* STATE STREET BRATS MADISON,292.38
22 Oct 2025,24 Oct 2025,PAYPAL *SPLICE          4029357733,188.81
22 Oct 2025,24 Oct 2025,PAYPAL *SPLICE          4029357733,398.60
21 Oct 2025,21 Oct 2025,BT*DD *DOORDASH TACOBEL SAN FRANCISCO,248.26
21 Oct 2025,21 Oct 2025,IC* COSTCO BY INSTACAR  SAN FRANCISCO,1050.39
21 Oct 2025,22 Oct 2025,PAYPAL *APPLE.COM/BILL  8002752273,56.57
21 Oct 2025,22 Oct 2025,PAYPAL *NESPRESSOUS     8005621465,2368.16
20 Oct 2025,21 Oct 2025,CTLP*CANTEEN VENDING S  CHARLOTTE,49.14
20 Oct 2025,21 Oct 2025,IC* INSTACART*SUBSCRIP  SAN FRANCISCO,1974.10
20 Oct 2025,23 Oct 2025,PAYPAL *APPLE.COM/BILL  8002752273,399.25
19 Oct 2025,19 Oct 2025,TST* THE DOUBLE U 00181 MADISON,363.52
18 Oct 2025,19 Oct 2025,LEVY@ 2UWM CONC         MADISON,478.27
18 Oct 2025,19 Oct 2025,TST* STATE STREET BRATS MADISON,595.47
18 Oct 2025,19 Oct 2025,TST* THE DOUBLE U 00181 MADISON,513.62
18 Oct 2025,19 Oct 2025,TST* THE DOUBLE U 00181 MADISON,517.58
18 Oct 2025,19 Oct 2025,TST* THE DOUBLE U 00181 MADISON,562.77
18 Oct 2025,19 Oct 2025,TST* THE DOUBLE U 00181 MADISON,709.27
17 Oct 2025,17 Oct 2025,BT*DD *DOORDASH SUSHIEX SAN FRANCISCO,247.26
17 Oct 2025,17 Oct 2025,Bassett Street Brunch   Madison,604.92
17 Oct 2025,17 Oct 2025,RAISING CANES 0601      MADISON,296.60
17 Oct 2025,17 Oct 2025,TST* THE DOUBLE U 00181 MADISON,390.82
16 Oct 2025,17 Oct 2025,DOUBLE TAP MADISON DOUB MADISON,398.95
16 Oct 2025,17 Oct 2025,TARGET        027656 09 MADISON,1047.11
16 Oct 2025,17 Oct 2025,TST* THE DOUBLE U 00181 MADISON,259.22
16 Oct 2025,17 Oct 2025,TST* THE STUFFED OLIVE  MADISON,957.11
16 Oct 2025,17 Oct 2025,UW MADISON WISC UNION 0 MADISON,358.98
15 Oct 2025,17 Oct 2025,TACO BELL 3004063 3004  MADISON,657.64
14 Oct 2025,15 Oct 2025,PAYPAL *MICROSOFT       4029357733,299.00
13 Oct 2025,13 Oct 2025,BT*DD *DOORDASH CHIPOTL SAN FRANCISCO,454.32
13 Oct 2025,13 Oct 2025,TARGET        034058 09 MADISON,761.86
12 Oct 2025,12 Oct 2025,TST* CHASERS 2.0 001812 MADISON,172.65
12 Oct 2025,12 Oct 2025,TST* CHASERS 2.0 001812 MADISON,198.77
12 Oct 2025,12 Oct 2025,TST* CHASERS 2.0 001812 MADISON,297.11
11 Oct 2025,12 Oct 2025,GOLF MADISON PARKS 6500 MADISON,133.40
11 Oct 2025,12 Oct 2025,GOLF MADISON PARKS 6500 MADISON,1125.93
11 Oct 2025,12 Oct 2025,TST* CHASERS 2.0 001812 MADISON,1006.24
11 Oct 2025,12 Oct 2025,TST* MOON BAR 00262364  MADISON,239.17
10 Oct 2025,10 Oct 2025,QDOBA 2033              MADISON,204.10
10 Oct 2025,10 Oct 2025,QDOBA 2033              MADISON,546.95
10 Oct 2025,10 Oct 2025,UBER,143.12
09 Oct 2025,10 Oct 2025,LINELEAP                BELLEVILLE,623.01
09 Oct 2025,10 Oct 2025,PAYPAL *APPLE.COM/BILL  8002752273,378.15
07 Oct 2025,08 Oct 2025,CTLP*CANTEEN VENDING S  CHARLOTTE,39.63
07 Oct 2025,08 Oct 2025,PAYPAL *NETFLIX.COM     8667160414,358.19
06 Oct 2025,06 Oct 2025,BT*DD *DOORDASH JERSEYM SAN FRANCISCO,309.11
06 Oct 2025,06 Oct 2025,UBER,118.37
06 Oct 2025,06 Oct 2025,UBER,149.65
06 Oct 2025,07 Oct 2025,UW MADISON WISC UNION 0 MADISON,98.38
05 Oct 2025,05 Oct 2025,BT*DD *DOORDASH ASIANKI SAN FRANCISCO,275.55
05 Oct 2025,06 Oct 2025,CTLP*CANTEEN VENDING S  CHARLOTTE,49.10
05 Oct 2025,05 Oct 2025,TST* THE KOLLEGE KLUB - MADISON,188.48
04 Oct 2025,05 Oct 2025,CHIPOTLE MEX GR ONLINE  NEWPORT BEACH,185.28
04 Oct 2025,05 Oct 2025,STARBUCKS STORE 0230    MADISON,143.34
04 Oct 2025,05 Oct 2025,TST* THE KOLLEGE KLUB - MADISON,188.48
04 Oct 2025,05 Oct 2025,TST* THE KOLLEGE KLUB - MADISON,188.48
04 Oct 2025,04 Oct 2025,UBER,208.51
04 Oct 2025,05 Oct 2025,UNIVERSITY BOOK STORE S MADISON,238.92
03 Oct 2025,04 Oct 2025,PAYPAL *HBOMAX          8559426669,338.44
03 Oct 2025,03 Oct 2025,QDOBA 2033              MADISON,308.79
02 Oct 2025,03 Oct 2025,AMAZON MKTPL*NJ2LT3232  AMZN.COM/BILL,472.77
02 Oct 2025,03 Oct 2025,AMAZON MARKEPLACE NA  PA,1040.28
02 Oct 2025,03 Oct 2025,AMAZON MARKEPLACE NA  PA,480.47
02 Oct 2025,03 Oct 2025,LINELEAP                BELLEVILLE,522.04
02 Oct 2025,03 Oct 2025,PAYPAL *APPLE.COM/BILL  8002752273,79.92
02 Oct 2025,02 Oct 2025,TARGET        034058 09 MADISON,166.56
02 Oct 2025,03 Oct 2025,TARGET        034058 09 MADISON,1008.02
02 Oct 2025,03 Oct 2025,TST* STATE STREET BRATS MADISON,293.67
02 Oct 2025,03 Oct 2025,TST* VINTAGE SPIRITS &  MADISON,693.84
02 Oct 2025,03 Oct 2025,UW MADISON WISC UNION 0 MADISON,194.01
01 Oct 2025,01 Oct 2025,"MYLAB BOX, INC          LOS ANGELES",3187.30
30 Sep 2025,30 Sep 2025,TARGET        034058 09 MADISON,366.22
30 Sep 2025,30 Sep 2025,UBER,103.18
30 Sep 2025,30 Sep 2025,UBER,160.23
29 Sep 2025,30 Sep 2025,GOOGLE *YOUTUBE TV      G.CO/HELPPAY#,1649.97
29 Sep 2025,29 Sep 2025,UBER,147.37
29 Sep 2025,29 Sep 2025,UBER,149.82
29 Sep 2025,29 Sep 2025,UBER,251.40
28 Sep 2025,28 Sep 2025,BT*DD *DOORDASH SUSHIEX SAN FRANCISCO,485.00
28 Sep 2025,29 Sep 2025,GOLF MADISON PARKS 6500 MADISON,357.32
28 Sep 2025,29 Sep 2025,GOLF MADISON PARKS 6500 MADISON,2226.86
28 Sep 2025,28 Sep 2025,JAYS                    MADISON,97.41
28 Sep 2025,28 Sep 2025,PAULS PEL'MENI 0000     MADISON,201.25
28 Sep 2025,29 Sep 2025,TST* ENO VINO DOWNTOWN  MADISON,2546.56
28 Sep 2025,28 Sep 2025,TST* THE DOUBLE U 00181 MADISON,171.04
28 Sep 2025,28 Sep 2025,WANDOS                  MADISON,97.41
27 Sep 2025,27 Sep 2025,TARGET        034058 09 MADISON,1194.08
27 Sep 2025,28 Sep 2025,TST* RED ROCK SALOON -  MADISON,115.15
