Fecha,Fecha de Compra,Descripción,Importe
13 Sep 2025,14 Sep 2025,STOP N SHOP 0000        MADISON,270.19
12 Sep 2025,12 Sep 2025,TACO BELL 3004063 3004  MADISON,485.05
11 Sep 2025,11 Sep 2025,GOOGLE*YOUTUBE VIDEOS G  G.CO HELPPAY#,76.18
11 Sep 2025,12 Sep 2025,LINELEAP                BELLEVILLE,837.27
11 Sep 2025,12 Sep 2025,TST* THE KOLLEGE KLUB - MADISON,283.33
11 Sep 2025,12 Sep 2025,TST* THE KOLLEGE KLUB - MADISON,290.00
09 Sep 2025,09 Sep 2025,MONDAY`S                MADISON,257.22
08 Sep 2025,09 Sep 2025,TARGET        034058 09 MADISON,858.30
08 Sep 2025,09 Sep 2025,TST* VINTAGE SPIRITS &  MADISON,689.71
07 Sep 2025,07 Sep 2025,ASIAN KITCHEN M-TEAM LL Madison,348.75
07 Sep 2025,07 Sep 2025,MONDAY`S                MADISON,297.72
07 Sep 2025,07 Sep 2025,MONDAY`S                MADISON,317.68
06 Sep 2025,06 Sep 2025,IANSPIZZA.COM           MADISON,165.55
06 Sep 2025,07 Sep 2025,TARGET        034058 09 MADISON,422.80
06 Sep 2025,07 Sep 2025,TST* STATE STREET BRATS MADISON,631.71
06 Sep 2025,07 Sep 2025,TST* THE DOUBLE U 00181 MADISON,173.79
06 Sep 2025,07 Sep 2025,TST* THE DOUBLE U 00181 MADISON,173.79
06 Sep 2025,07 Sep 2025,TST* THE DOUBLE U 00181 MADISON,250.15
06 Sep 2025,07 Sep 2025,TST* THE DOUBLE U 00181 MADISON,375.23
06 Sep 2025,07 Sep 2025,TST* THE DOUBLE U 00181 MADISON,375.23
02 Sep 2025,02 Sep 2025,BT*DD *DOORDASH SUSHIEX SAN FRANCISCO,311.04
02 Sep 2025,03 Sep 2025,TACO BELL 3004063 3004  MADISON,358.11
02 Sep 2025,03 Sep 2025,TST* CHASERS 2.0 001812 MADISON,104.51
02 Sep 2025,03 Sep 2025,TST* CHASERS 2.0 001812 MADISON,250.91
02 Sep 2025,03 Sep 2025,TST* RED ROCK SALOON -  MADISON,98.94
02 Sep 2025,03 Sep 2025,TST* STATE STREET BRATS MADISON,281.07
02 Sep 2025,03 Sep 2025,WHISKEY JACKS           MADISON,235.48
01 Sep 2025,02 Sep 2025,UW MADISON WISC UNION 0 MADISON,103.02
31 Aug 2025,31 Aug 2025,UBER,565.60
30 Aug 2025,31 Aug 2025,RILEYS WINES OF THE WOR MADISON,605.63
30 Aug 2025,30 Aug 2025,TST* RED - MADISON 3005 MADISON,3637.62
30 Aug 2025,30 Aug 2025,TST* THE KOLLEGE KLUB - MADISON,343.31
30 Aug 2025,30 Aug 2025,UBER,203.54
29 Aug 2025,30 Aug 2025,CHIPOTLE MEX GR ONLINE  NEWPORT BEACH,315.16
29 Aug 2025,30 Aug 2025,TARGET        034058 09 MADISON,60.31
29 Aug 2025,30 Aug 2025,TARGET        034058 09 MADISON,1298.18
29 Aug 2025,30 Aug 2025,TST* STATE STREET BRATS MADISON,256.95
28 Aug 2025,29 Aug 2025,LEVY@ 2UWM CONC         MADISON,276.79
28 Aug 2025,30 Aug 2025,LEVY@ 2UWM CONC         MADISON,391.94
28 Aug 2025,29 Aug 2025,TOUCHTUNES MUSIC COMPAN SCHAUMBURG,957.36
28 Aug 2025,29 Aug 2025,TST* STATE STREET BRATS MADISON,163.59
28 Aug 2025,29 Aug 2025,TST* THE DOUBLE U 00181 MADISON,284.07
28 Aug 2025,29 Aug 2025,TST* THE DOUBLE U 00181 MADISON,284.07
26 Aug 2025,27 Aug 2025,DD *DOORDASH IHOP       SAN FRANCISCO,431.55
26 Aug 2025,27 Aug 2025,LINELEAP                BELLEVILLE,460.34
25 Aug 2025,26 Aug 2025,TARGET        034058 09 MADISON,1436.07
